orig.method,recoded.method,experiment,coder,trial,look.recoded,look.orig,gap,agree
jhab,datavyu,Exp.1,NG,5,4.356,4.81,-0.454,1
jhab,datavyu,Exp.1,NG,1,6.666,6.72,-0.054,1
jhab,datavyu,Exp.1,NG,2,6.072,5.91,0.162,0
jhab,datavyu,Exp.1,NG,3,13.299,10.49,2.809,1
jhab,datavyu,Exp.1,NG,4,10.032,5.46,4.572,0
jhab,datavyu,Exp.1,DE,2,3.696,4.44,-0.744,1
jhab,datavyu,Exp.1,DE,3,3.3,3.36,-0.06,1
jhab,datavyu,Exp.1,DE,5,3.333,3.35,-0.017,1
jhab,datavyu,Exp.1,DE,6,2.937,2.93,0.007,1
jhab,datavyu,Exp.1,DE,4,3.003,2.87,0.133,1
jhab,datavyu,Exp.1,DE,1,3.828,3.61,0.218,1
xhab,datavyu,Exp.2,BP,5,1.617,2,-0.383,1
xhab,datavyu,Exp.2,BP,2,3.795,4,-0.205,1
xhab,datavyu,Exp.2,BP,4,2.046,2,0.046,1
xhab,datavyu,Exp.2,BP,6,2.442,1.8,0.642,1
xhab,datavyu,Exp.2,BP,3,5.907,4.8,1.107,1
